duplicate,dist,address.x,address.y,,,geometry.x,,geometry.y,
n,0.001605642551,tienda la favorita,panaderia and restaurant yareli,4226 Garrett Road Suite C-2,4226 Garrett Rd # C,c(-78.97665,35.96103),c(-78.976072,35.959532)
n,0.002108670444,little india,sake bomb,4215 University Drive Suite 2,4201 University Dr # 110,c(-78.958722,35.9627548),c(-78.957666,35.96458)
n,0.004561444727,cross creek convenience,harris teeter 254,1501 Horton Road,3834 GUESS ROAD,c(-78.930972,36.056542),c(-78.928219,36.060179)
n,0.004767895343,harris teeter 172,bull street gourmet and market,3710 Shannon Road Suite 100,1817 MARTIN LUTHER KING JR PARKWAY,c(-78.956087,35.956193),c(-78.959212,35.959794)
n,0.003524632463,g & r tobacco,duke street b p 214,3804 North Duke Street,"4400 NORTH ROXBORO STREET, UNIT 3",c(-78.904708,36.051408),c(-78.902853,36.054405)
n,0.001680307621,tortilleria miguelena,mariscos los cabos,4020 Durham Chapel Hill Blvd,3205 University Dr,c(-78.9399873,35.9681739),c(-78.941507,35.967457)
n,0.0006938011315,fast stop 2,u c stop,710 South Alston Avenue,801 Alston Avenue,c(-78.8919669,35.979871),c(-78.891622,35.979269)
n,0.004021755339,bull city grab n go,freeway b p 120,308 South Alston Avenue,1108 E MAIN ST,c(-78.890137,35.9837289),c(-78.888561,35.987429)
n,0.004442170641,mi vaquita mini market,refectory cafe,2726 Durham Chapel Hill Blvd,2403 Pickett Road,c(-78.933036,35.974361),c(-78.936632,35.976969)
n,0.0006520322078,limings global mart,k mix karaoke and bar,3400 Westgate Drive Suite 1,3400 WESTGATE DRIVE SUITE 14,c(-78.9633962,35.9659346),c(-78.963562,35.965304)
n,0.00393996066,super compare foods,la isla del mar,315 Foushee Street,2000 AVONDALE DRIVE,c(-78.88843,36.01606),c(-78.884647,36.014959)
n,0.001259207326,hillside family fare #307,triangle mini mart,4003 Fayetteville Street,3921  Fayetteville St,c(-78.9033028,35.9491325),c(-78.903345,35.950391)
n,0.001493154044,food lion 420,dollar general store 3067,3830 Guess Road,3808 GUESS ROAD,c(-78.928017,36.059644),c(-78.92792,36.058154)
n,0.004629845786,lakeland mini mart,town mart,1432 East Lawson Street,614 LAKELAND STREET,c(-78.88607,35.97395),c(-78.889714,35.976806)
n,0.003259784195,dollar general 3614,rhythms live music hall,2020 Chapel Hill Street Suite 33-34,"2000 Chapel Hill Road, Suite 1",c(-78.92422,35.98685),c(-78.927128,35.988323)
n,0.001752326297,dollar general 7729,sheetz 570,3414 Hillsborough Road,3427 HILLSBOROUGH ROAD,c(-78.9459752,36.0194509),c(-78.94748,36.018553)
